INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=18199;StartDate=2017.01.13,22:48;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2248_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=18199;StartDate=2017.01.13,22:48;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2248_faLog.txt
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=[F|H] I<ODIUM>I;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=1|USMC Seng711;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=hellcat;Time=122
ENTER PlayerName=7[1MD] GeoPat;PlayerTeam=2;VehicleName=lcvp;Time=123
ENTER PlayerName= [F|H]Papillon;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=125
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=75mmdp;Time=125
ENTER PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lcvp;Time=131
ENTER PlayerName=5|USMC AL-SAHAD;PlayerTeam=2;VehicleName=lcvp;Time=131
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;Time=132
ENTER PlayerName=1|USMC sch@mpus;PlayerTeam=2;VehicleName=lvt-4;Time=134
ENTER PlayerName=24[2IG [24th][2IG]~Goda;PlayerTeam=1;VehicleName=type97_chiha;Time=135
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=135
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=135
ENTER PlayerName=2IG15 [F|H]Gunghoo;PlayerTeam=1;VehicleName=8inch_defgun;Time=136
ENTER PlayerName=2IG|24 R0I0R;PlayerTeam=1;VehicleName=a6m_zero;Time=139
ENTER PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lcvp;Time=142
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;VehicleTime=9.9;Time=142
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;Time=142
ENTER PlayerName=2IG|18 Ensign_Steel;PlayerTeam=1;VehicleName=75mmdp;Time=142
ENTER PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;VehicleName=aichi_val;Time=143
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.3;Time=144
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;Time=144
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=kurogane;Time=146
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type95_hago;Time=147
ENTER PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=148
SCORE ScoreDiff=1;PlayerName=H|USMC florianmehne;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=hellcat;PlayerPos=-40.566,95.238,-21.524;Time=148;Scoretype=kills
KILL;AttackerName=H|USMC florianmehne;AttackerTeam=2;AttackerPos=-40.566,95.238,-21.524;VictimName=2IG|15 Xant;VictimTeam=1;VictimPos=-31.697,66.261,-41.664;VictimKit=JP_Engineer_type93;VictimVehicle=fh1_25mmaa;AttackerKit=UP_Scout;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=148
EXIT PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=12.3;Time=148
ENTER PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=f4u1a_corsair;Time=150
ENTER PlayerName=2IG|15 Ephiriel;PlayerTeam=1;VehicleName=8inch_defgun;Time=151
SCORE ScoreDiff=1;PlayerName=2IG|15 The_Spine;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=fh1_25mmaa;PlayerPos=-42.991,68.471,-97.313;Time=151;Scoretype=kills
KILL;AttackerName=2IG|15 The_Spine;AttackerTeam=1;AttackerPos=-42.991,68.471,-97.313;VictimName=H|USMC florianmehne;VictimTeam=2;VictimPos=-41.727,80.139,-85.876;VictimKit=UP_Scout;VictimVehicle=hellcat;AttackerKit=JP_Engineer_type93;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel1;Time=151
EXIT PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=hellcat;VehicleTime=28.8;Time=151
SCORE ScoreDiff=1;PlayerName=H|USMC florianmehne;PlayerTeam=2;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=-41.727,80.139,-85.876;Time=152;Scoretype=kills
KILL;VictimName=2IG|15 The_Spine;VictimTeam=1;VictimPos=-42.991,68.471,-97.313;VictimKit=JP_Engineer_type93;VictimVehicle=fh1_25mmaa;Time=152
EXIT PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=3.9;Time=152
EXIT PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;VehicleTime=16.2;Time=152
ENTER PlayerName=1IUSMC Haraldt;PlayerTeam=2;VehicleName=lcvp;Time=155
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=35.5;Time=156
EXIT PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lcvp;VehicleTime=14.2;Time=156
ENTER PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=157
EXIT PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=kurogane;VehicleTime=12.6;Time=159
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=162
EXIT PlayerName=1|USMC sch@mpus;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=29.5;Time=163
ENTER PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;Time=165
EXIT PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.7;Time=166
ENTER PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=75mmdp;Time=168
ENTER PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;Time=168
ENTER PlayerName=1|USMC sch@mpus;PlayerTeam=2;VehicleName=lvt-4;Time=169
EXIT PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.0;Time=169
ENTER PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;Time=169
ENTER PlayerName=2IG|18 DTBG;PlayerTeam=1;VehicleName=75mmdp;Time=170
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;VehicleTime=26.4;Time=171
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;Time=171
EXIT PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.6;Time=171
ENTER PlayerName=[F|H] SturmFlim13;PlayerTeam=1;VehicleName=75mmdp;Time=171
SCORE ScoreDiff=1;PlayerName= [F|H]Papillon;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=dauntlesssbdtorch;PlayerPos=-23.523,101.521,-35.508;Time=172;Scoretype=kills
