INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=20439;StartDate=2017.01.13,23:25;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2325_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=20439;StartDate=2017.01.13,23:25;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2325_faLog.txt
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7[1MD] GeoPat;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7[1USM CLavish;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=1|USMC Seng711;PlayerTeam=2;VehicleName=lcvp;Time=128
ENTER PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=130
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=130
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=130
ENTER PlayerName=7[USMC gerul;PlayerTeam=2;VehicleName=lcvp;Time=131
EXIT PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=3.7;Time=133
ENTER PlayerName=2IG|18 Ensign_Steel;PlayerTeam=1;VehicleName=75mmdp;Time=134
ENTER PlayerName=24[2IG [24th][2IG]~Goda;PlayerTeam=1;VehicleName=type97_chiha;Time=135
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=136
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=136
ENTER PlayerName=2IG15 [F|H]Gunghoo;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=137
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;Time=137
ENTER PlayerName=1|USMC sch@mpus;PlayerTeam=2;VehicleName=lvt-4;Time=138
ENTER PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=8inch_defgun;Time=139
ENTER PlayerName=2IG|24 R0I0R;PlayerTeam=1;VehicleName=a6m_zero;Time=139
EXIT PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;VehicleTime=19.3;Time=139
ENTER PlayerName= [F|H]Papillon;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=141
ENTER PlayerName= [F|H]Quicksilver;PlayerTeam=2;VehicleName=lvt-4;Time=141
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=142
ENTER PlayerName=1IUSMC Haraldt;PlayerTeam=2;VehicleName=lvt-4;Time=142
ENTER PlayerName=2IG|15 Ephiriel;PlayerTeam=1;VehicleName=8inch_defgun;Time=145
ENTER PlayerName= 2IG|HQSir_Kows;PlayerTeam=1;VehicleName=type97_chiha;Time=145
ENTER PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lcvp;Time=147
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=32.1;Time=152
