INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=1|USMC KarlGeorg;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;Time=122
ENTER PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=f4u1a_corsair;Time=123
ENTER PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;Time=125
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;Time=125
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;Time=125
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=125
EXIT PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;VehicleTime=1.9;Time=127
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;Time=129
ENTER PlayerName=2IG[24 slav_on_13;PlayerTeam=1;VehicleName=75mmdp;Time=130
SCORE ScoreDiff=-1;PlayerName=1|USMC Hawk2k9;PlayerTeam=2;PlayerKit=UP_NCO_rifle;PlayerVehicle=lvt-4;PlayerPos=-193.707,65.118,-35.713;Time=130;Scoretype=suicides
KILL;AttackerName=1|USMC Hawk2k9;AttackerTeam=2;AttackerPos=-193.707,65.118,-35.713;VictimName=1|USMC Hawk2k9;VictimTeam=2;VictimPos=-193.707,65.118,-35.713;VictimKit=UP_NCO_rifle;VictimVehicle=lvt-4;AttackerKit=UP_NCO_rifle;AttackerVehicle=lvt-4;Time=130
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=4.5;Time=130
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=75mmdp;Time=132
ENTER PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=133
EXIT PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=75mmdp;VehicleTime=1.3;Time=134
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;VehicleTime=14.5;Time=134
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=134
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=15.5;Time=135
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;Time=135
EXIT PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;VehicleTime=6.8;Time=135
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;Time=135
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.3;Time=137
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=137
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=138
EXIT PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.9;Time=138
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.9;Time=140
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=140
ENTER PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;Time=143
ENTER PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=8inch_defgun;Time=145
ENTER PlayerName=2IG|18 DanielNL;PlayerTeam=1;VehicleName=type97_chiha;Time=146
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=148
ENTER PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;Time=151
EXIT PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;VehicleTime=12.9;Time=151
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type95_hago;Time=153
ENTER PlayerName=[F|H] SturmFlim13;PlayerTeam=1;VehicleName=75mmdp;Time=155
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=160
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=166
SCORE ScoreDiff=3;PlayerName=2IG|15 Xant;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=fh1_25mmaa;PlayerPos=-31.697,66.261,-41.664;Time=168;Scoretype=kills
KILL;AttackerName=2IG|15 Xant;AttackerTeam=1;AttackerPos=-31.697,66.261,-41.664;VictimName=5|USMC GENERAL_HUN;VictimTeam=2;VictimPos=-13.724,116.827,-22.416;VictimKit=UP_Engineer;VictimVehicle=f4u1a_corsair;AttackerKit=JP_Engineer_type93;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel1;Time=168
EXIT PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=f4u1a_corsair;VehicleTime=44.3;Time=168
SCORE ScoreDiff=4;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=8inch_defgun;PlayerPos=-50.171,71.276,-100.522;Time=172;Scoretype=kills
KILL;AttackerName=2IG|15 papa@FH2;AttackerTeam=1;AttackerPos=-50.171,71.276,-100.522;VictimName=5|USMC Tutvys;VictimTeam=2;VictimPos=-138.450,64.984,-54.313;VictimKit=UP_LMG_Limited;VictimVehicle=lcvp;AttackerKit=JP_Engineer_type93;AttackerVehicle=8inch_defgun;AttackerWeapon=8inch_defgun_barrel;Time=172
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;VehicleTime=32.3;Time=172
ENTER PlayerName=[2IG] Otto1;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=173
ENTER PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=176
SCORE ScoreDiff=1;PlayerName=2IG|15 knokworst;PlayerTeam=1;PlayerKit=JP_Antitank_turtlemine;PlayerVehicle=fh1_25mmaa;PlayerPos=-42.991,68.471,-97.313;Time=182;Scoretype=kills
KILL;AttackerName=2IG|15 knokworst;AttackerTeam=1;AttackerPos=-42.991,68.471,-97.313;VictimName= 5[1USMC]truth_HUN;VictimTeam=2;VictimPos=-123.752,65.118,-57.510;VictimKit=UP_SMGAssault;VictimVehicle=lvt-4;AttackerKit=JP_Antitank_turtlemine;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel2;Time=182
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=47.1;Time=182
SCORE ScoreDiff=1;PlayerName=2IG|15 The_Spine;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=8inch_defgun;PlayerPos=-53.494,68.222,-102.592;Time=182;Scoretype=kills
KILL;AttackerName=2IG|15 The_Spine;AttackerTeam=1;AttackerPos=-53.494,68.222,-102.592;VictimName=5|USMC RedYuri;VictimTeam=2;VictimPos=-123.607,65.118,-57.507;VictimKit=UP_NCO;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=8inch_defgun;AttackerWeapon=8inch_defgun_barrel;Time=182
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=62.7;Time=182
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=39.2;Time=187
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=194
EXIT PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=39.1;Time=199
SCORE ScoreDiff=-1;PlayerName=2IG|24 Vlasov;PlayerTeam=1;PlayerKit=jp_RifleAssault;PlayerVehicle=jp_rilfe_khaki;PlayerPos=93.278,68.560,-13.190;Time=200;Scoretype=suicides
KILL;AttackerName=2IG|24 Vlasov;AttackerTeam=1;AttackerPos=93.278,68.560,-13.190;VictimName=2IG|24 Vlasov;VictimTeam=1;VictimPos=93.278,68.560,-13.190;VictimKit=jp_RifleAssault;VictimVehicle=jp_rilfe_khaki;AttackerKit=jp_RifleAssault;AttackerVehicle=jp_rilfe_khaki;Time=200
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=204
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;Time=204
ENTER PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=hellcat;Time=208
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=15.4;Time=209
