INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=11607;StartDate=2017.01.13,20:58;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2058_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=11607;StartDate=2017.01.13,20:58;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2058_faLog.txt
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=1|USMC KarlGeorg;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;Time=122
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;VehicleTime=3.5;Time=124
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=124
ENTER PlayerName=2IG|24 R0I0R;PlayerTeam=1;VehicleName=a6m_zero;Time=124
ENTER PlayerName=5|USMC AL-SAHAD;PlayerTeam=2;VehicleName=lcvp;Time=124
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=124
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;VehicleTime=0.8;Time=124
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=124
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=125
ENTER PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;Time=125
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=kurogane;Time=125
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lvt-4;Time=126
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.4;Time=127
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=127
EXIT PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=2.1;Time=128
ENTER PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;Time=128
EXIT PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=0.9;Time=128
ENTER PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;Time=128
ENTER PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lcvp;Time=129
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.2;Time=129
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=129
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;VehicleTime=0.8;Time=130
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lcvp;Time=130
SCORE ScoreDiff=-1;PlayerName=1|USMC KarlGeorg;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-123.585,68.040,184.666;Time=131;Scoretype=suicides
KILL;AttackerName=1|USMC KarlGeorg;AttackerTeam=2;AttackerPos=-123.585,68.040,184.666;VictimName=1|USMC KarlGeorg;VictimTeam=2;VictimPos=-123.585,68.040,184.666;VictimKit=UP_Scout;VictimVehicle=us05insinglemk30_arty_1;AttackerKit=UP_Scout;AttackerVehicle=us05insinglemk30_arty_1;Time=131
EXIT PlayerName=1|USMC KarlGeorg;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;VehicleTime=10.8;Time=131
ENTER PlayerName=2IGCpt Malleus_RUSSI;PlayerTeam=1;VehicleName=kurogane;Time=131
SCORE ScoreDiff=-4;PlayerName=2IG|15 BamBam_55;PlayerTeam=1;PlayerKit=jp_RifleAssault;PlayerVehicle=a6m_zero;PlayerPos=34.043,69.148,-84.452;Time=131;Scoretype=TKs
KILL;AttackerName=2IG|15 BamBam_55;AttackerTeam=1;AttackerPos=34.043,69.148,-84.452;VictimName=2IG|18 GGarrido;VictimTeam=1;VictimPos=34.793,68.417,-83.994;VictimKit=JP_Engineer_type93;VictimVehicle=jp_rilfe_khaki;AttackerKit=jp_RifleAssault;AttackerVehicle=a6m_zero;Time=131
ENTER PlayerName= [F|H]Papillon;PlayerTeam=2;VehicleName=pipercub_us;Time=133
ENTER PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lcvp;Time=133
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=134
ENTER PlayerName=24[2IG [24th][2IG]~Goda;PlayerTeam=1;VehicleName=type95_hago;Time=134
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=134
ENTER PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;VehicleName=aichi_val;Time=134
ENTER PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=8inch_defgun;Time=138
ENTER PlayerName=2IG[24 slav_on_13;PlayerTeam=1;VehicleName=75mmdp;Time=138
